filename,transcription
260-123286-0000,"Saturday, August 15th. The sea unbroken all round. No land in sight."
260-123286-0001,The horizon seems extremely distant.
260-123286-0002,"All my danger and sufferings were needed to strike a spark of human feeling out of him. But now that I am well, his nature has resumed its sway."
260-123286-0003,"You seem anxious, my uncle, I said, seeing him continually with his glass to his eye. Anxious."
260-123286-0004,"One might be, with less reason than now."
260-123286-0005,"I am not complaining that the rate is slow, but that the C is so wide."
260-123286-0006,"We are losing time, and the fact is, I have not come all this way to take a little sail upon a pond on a raft."
260-123286-0007,He called this sea upon and our long voyage taking a little sail
260-123286-0008,"Therefore, don't talk to me about views and prospects."
260-123286-0009,I take this as my answer and I leave the professor to bite his lips with impatience.
260-123286-0010,"Sunday, August 16th."
260-123286-0011,"Nothing new, weather unchanged. The wind freshens."
260-123286-0012,But there seemed no reason of fear.
260-123286-0013,The shadow of the raft was clearly outlined upon the surface of the waves.
260-123286-0014,Truly the sea is of infinite width.
260-123286-0015,It must be as wide as the Mediterranean or the Atlantic. And why not?
260-123286-0016,"These thoughts agitated me all day, and my imagination scarcely calmed down after several hours' sleep."
260-123286-0017,I shudder as I recall these monsters to my remembrance.
260-123286-0018,"I saw at the Hamburg Museum the skeleton of one of these creatures, 30 feet in length."
260-123286-0019,"I suppose Professor Liedenbrock was of my opinion too, and even shared my fears. For after having examined the pig, his eyes traversed the ocean from side to side."
260-123286-0020,"Tuesday, August 18th."
260-123286-0021,"During his watch, I slept."
260-123286-0022,"Two hours afterwards, a terrible shock awoke me."
260-123286-0023,The raft was heaved up on a watery mountain and pitched down again at a distance of 20 fathoms.
260-123286-0024,"There's a whale, a whale, cried the professor."
260-123286-0025,Flight was out of the question now. The reptiles rose. They wheeled around our little raft with a rapidity greater than that of express trains.
260-123286-0026,"Two monsters only were creating all this commotion, and before my eyes are two reptiles of the primitive world."
260-123286-0027,"I can distinguish the eye of the ichthyosaurus, glowing like a red hot coal and as large as a man's head."
260-123286-0028,"Its jaw is enormous, and according to naturalists, it is armed with no less than 182 teeth."
260-123286-0029,Those huge creatures attacked each other with a greatest animosity.
260-123286-0030,"Suddenly, the ichthyosaurus and the plesiosaurus disappear below, leaving a whirlpool eddying in the water."
260-123286-0031,"As for the Ithiosaurus, has he returned to his submarine cabin?"
4077-13754-0000,The army found the people in poverty and left them in comparative wealth.
4077-13754-0001,but a word further concerning the expedition in general.
4077-13754-0002,"It was through Floyd's advice that Buchanan ordered the military expedition to Utah, ostensibly, to install certain federal officials and to repress an alleged infantile rebellion, which in fact had never come into existence, but in reality to further the interests of the secessionists."
4077-13754-0003,"Moreover, had the people been inclined to rebellion, what greater opportunity could they have wished?"
4077-13754-0004,Already a north and a south were talked of. Why not set up also a west?
4077-13754-0005,"They knew no north, no south, no east, no west. They stood positively by the constitution, and would have nothing to do in the bloody strife between brothers, unless indeed they were summoned by the authority to which they had already once loyally responded. they had already once loyally responded, to furnish men and arms for the country's need."
4077-13754-0006,"What the Latter-day Saints call celestial marriage is characteristic of the Church, and is in very general practice. But of celestial marriage, plurality of wives was an incident, never an essential."
4077-13754-0007,"We believe in a literal resurrection and an actual hereafter, in which future states shall be recognized every sanctified and authorized relationship existing here on earth, of parent and child, brother and sister, husband and wife."
4077-13754-0008,"It has been my privilege to tread the soil of many lands, to observe the customs, and study the habits of more nations than one. And I have yet to find the place and meet the people, where and with whom the purity of man and woman is held more precious than among the maligned Mormons in the mountain valleys of the west."
4077-13754-0009,"At the inception of plural marriage among the Latter-day Saints, there was no law, national or state, against its practice."
4077-13754-0010,"In 1862, a law was enacted with the purpose of suppressing plural marriage, and, as had been predicted in the National Senate prior to its passage, it lay for many years a dead letter."
4077-13754-0011,"federal judges and United States attorneys in Utah, who are not Mormons nor lovers of Mormonism, refuse to entertain complaints or prosecute cases under the law because of its manifest injustice and inadequacy."
4077-13754-0012,"This meant that for an alleged misdemeanor, for which Congress prescribed a maximum penalty of six months imprisonment and a fine of three hundred dollars, a man might be imprisoned for life, I for many terms of a man's natural life, I for many terms have amends natural life, did the court's power to enforce its sentences extend so far, and might be fined millions of dollars."
4077-13754-0013,"Before this travesty on the administration of law could be brought before the court of last resort, and there met with the reversal and rebuke it deserved, men were imprisoned under sentence of many years' duration."
4077-13754-0014,"The people contested these measures one by one in the courts, presenting in case after case the different phases of the subject and urging the unconstitutionality of the measure."
4077-13754-0015,"Then the Church was disincorporated, and its property both real and personal confiscated and eschewed to the government of the United States. And although the personal property was soon restored, real estate of great value long lay in the hands of the court's receiver, and the Mormon Church had to pay the national government high rental on its own property."
4077-13754-0016,"And so the story of Mormonism runs on. Its finale has not yet been written. The current press presents continuously new stages of its progress, new developments of its plan."
